"id","RMS_CDW_ID","General_Offense_Number","Offense_Code","Offense_Code_Extension","Offense_Type","Summary_Offense_Code","Summarized_Offense_Description, Date_Reported","Occurred_Date_or_Date_Range_Start","Occurred_Date_Range_End","Hundred_Block_Location","District_Sector","Zone_Beat","Longitude","Latitude","Location","Date_Occurred","Date_Occurred_End"
3735,745730,"2013100122","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T08:00:00.000Z","2013-03-25 12:00:00","65XX BLOCK OF 29 AV S","S","S1",-122.296,47.5435,"(47.54353295, -122.295817533)","2013-03-25","2013-03-25"
3790,745915,"2013103197","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-27T08:00:00.000Z","2013-03-27 19:30:00","25XX BLOCK OF 19 AV S","O","O1",-122.309,47.5806,"(47.580634362, -122.308731799)","2013-03-27","2013-03-27"
3792,745923,"2013106412","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-30T01:30:00.000Z","2013-03-30 04:00:00","134XX BLOCK OF GREENWOOD AV N","B","B1",-122.356,47.726,"(47.725955316, -122.355552862)","2013-03-30","2013-03-30"
3986,746530,"201397786","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-23T00:00:00.000Z","2013-03-23 06:00:00","4XX BLOCK OF N 90 ST","N","N2",-122.353,47.6942,"(47.694211046, -122.353304004)","2013-03-23","2013-03-23"
4303,747446,"201398772","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-23T20:30:00.000Z","2013-03-24 05:00:00","44XX BLOCK OF MARTIN LUTHER KING JR WY S","R","R2",0,0,"(0.0, 0.0)","2013-03-23","2013-03-24"
4519,748218,"2013100389","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T16:06:00.000Z","1900-01-01 00:00:00","58XX BLOCK OF 39 AV S","S","S1",-122.283,47.5501,"(47.550098785, -122.283418574)","2013-03-25","2013-03-25"
4577,748409,"2013100053","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T02:00:00.000Z","2013-03-25 04:00:00","87XX BLOCK OF 19 AV NW","B","B1",-122.381,47.6931,"(47.693071323, -122.381089827)","2013-03-25","2013-03-25"
4683,749133,"201395931","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-21T19:15:00.000Z","2013-03-21 23:25:00","52XX BLOCK OF S DAWSON ST","R","R3",-122.267,47.5548,"(47.554845064, -122.26699495)","2013-03-21","2013-03-21"
4895,749701,"2013107192","2204",0,"BURGLARY-NOFORCE-RES","2200",,"2013-03-30T20:23:00.000Z","1900-01-01 00:00:00","16XX BLOCK OF LAKE WASHINGTON BV","C","C3",-122.282,47.6143,"(47.614272979, -122.281651011)","2013-03-30","2013-03-30"
5326,750881,"2013101288","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-26T03:24:00.000Z","1900-01-01 00:00:00","26XX BLOCK OF 4 AV N","Q","Q2",-122.35,47.6437,"(47.643686602, -122.349570238)","2013-03-26","2013-03-26"
6203,753512,"2013107115","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-30T20:31:00.000Z","1900-01-01 00:00:00","15XX BLOCK OF NW 61 ST","B","B2",-122.378,47.6731,"(47.673090495, -122.377546633)","2013-03-30","2013-03-30"
7003,755963,"201395734","2203",0,"BURGLARY-FORCE-NONRES","2200",,"2013-03-21T19:31:00.000Z","1900-01-01 00:00:00","50XX BLOCK OF ROOSEVELT WY NE","U","U3",-122.317,47.6657,"(47.665686886, -122.317395591)","2013-03-21","2013-03-21"
7008,755971,"2013100483","2202",0,"BURGLARY-FORCE-RES","2200",,"2013-03-25T03:00:00.000Z","1900-01-01 00:00:00","17XX BLOCK OF DEXTER AV N","D","D1",-122.342,47.635,"(47.634988354, -122.342285181)","2013-03-25","2013-03-25"
